,undermine_score,support_score,cp_distance,cop_distance,predict_label,distance_label,gold,Label,claim,perspective,opposite_perspective
1715,-4.4409056,5.047984,0.06210953,0.0430367,1,0,1,1,Gambling must be banned,Online gambling has increased the incidence of gambling addiction,Online gambling doesn't have increased the incidence of gambling addiction
1722,6.476362,-6.6524715,1.5952983,1.7506869999999999,0,1,0,0,Religious symbols in public buildings must be banned,"If you ban one thing, you have to ban lots of things.","If you ban one thing, you don't have to ban lots of things."
1724,2.6266147999999996,-2.8949177,1.3191495,1.9424427,0,1,0,0,Religious symbols in public buildings must be banned,Banning religious symbols in public could lead to the banning of public political affiliation symbols.,Banning religious symbols in public could not lead to the banning of public political affiliation symbols.
1727,8.074327,-7.926138000000001,1.7120076000000002,1.8477964,0,1,0,0,Religious symbols in public buildings must be banned,Banning religious symbols is just a way of unfairly targeting people.,Banning religious symbols is not just a way of unfairly targeting people.
1740,5.590564700000001,-1.9593483,1.8637042000000001,1.8815209,0,1,0,0,Inheritance tax should be raised to 100% for everyone born in the UK,What makes you think that money would be wisely spent?,What makes you think that money would not be wisely spent?
1800,7.184765,-5.8375715999999995,1.8650415,1.8678113,0,1,0,0,An international ban should be placed on the export of nuclear reactor technology,"all countries are entitled to self defense with nuclear weapons, even when they do not have the capacity to carry conventional weapons","all countries are entitled to self defense with nuclear weapons, even when they do have the capacity to carry conventional weapons"
1806,-2.7969484000000002,2.5257937999999998,0.11291957,0.10715383,1,0,1,1,An international ban should be placed on the export of nuclear reactor technology,"[Iran specific] Others, particularly Israel, would act if the United States did not","[Iran specific] Others, particularly Israel, would act if the United States did "
1831,-4.104364,2.9958897,0.23884629999999998,0.2014243,1,0,1,1,Have no elections rather than sham elections,Not having any elections is honest., having any elections is honest.
1833,-4.449879,4.0362849999999995,0.025541604,0.0071822405,1,0,1,1,Have no elections rather than sham elections,At least no elections would be more honest,At least no elections would not be more honest
1834,4.3015504,-1.3253083,1.3065790000000002,1.6030296,0,1,0,0,Have no elections rather than sham elections,Sham elections do not mean the elections have no influence or impact. ,Sham elections do mean the elections have no influence or impact.
1835,5.358933,-2.435722,1.7382927,1.815,0,1,0,0,Have no elections rather than sham elections,Just because an election is fake does not mean it will not have an impact.,Just because an election is fake does mean it will not have an impact.
1838,5.116869400000001,-2.7105181000000003,1.6275289,1.6940074,0,1,0,0,Have no elections rather than sham elections,Fake elections are still a demonstration of the peoples desires.,Fake elections are not still a demonstration of the peoples desires.
1900,-3.115004,3.0995321,0.060699403,0.013148665,1,0,1,1,Online gambling has to be banned,You should not gamble because it is bad.,You should gamble because it is bad.
1914,-0.05076287,0.9171046,0.35444713,0.28221667,1,0,1,1,Atheist countries are more benevolent,"Norway listed as the best place to live, but it is full of atheists. ","Norway listed as the best place not to live, but it is full of atheists."
1928,7.798317,-8.534706,1.8542968999999998,1.8682983,0,1,0,0,A Ban on Shark Fin Soup Is Necessary to Protect the Shark from Extinction,Banning Shark's fin soup will only put it on the black market,Banning Shark's fin soup will not only put it on the black market
1932,5.17034,-1.8900765,1.7725205000000002,1.9525150000000002,0,1,0,0,Governments Should Put Wealth Redistribution Ahead Of Wealth Creation,Redistribution is a moral anathema.,Redistribution is not a moral anathema.
1948,-2.7118154,2.414701,0.41184837,0.006836772,1,0,1,1,The ICC should have its own enforcement arm,With ICC Enforcement we would have more violators brought to trial.,With ICC Enforcement we would not have more violators brought to trial.
1987,-1.3575051,2.1222472000000003,0.38634509999999994,0.03509587,1,0,1,1,The threat of Climate Change is exaggerated,Human-caused global warming is changing weather systems and making heat waves and droughts more intense and more frequent. ,Human-caused global warming is not changing weather systems and making heat waves and droughts more intense and more frequent.
1990,8.474216,-8.495822,1.6968528999999999,1.7607901000000001,0,1,0,0,The threat of Climate Change is exaggerated,"Earth's climate has always warmed and cooled, and the 20th century rise in global temperature is within the bounds of natural temperature fluctuations over the past 3,000 years. ","Earth's climate doesn't have always warmed and cooled, and the 20th century rise in global temperature is within the bounds of natural temperature fluctuations over the past 3,000 years."
1993,-0.75507194,1.8872662,0.4648996,0.38657016,1,0,1,1,The threat of Climate Change is exaggerated,Global warming caused by human-produced greenhouse gases is causing the Arctic ice cap to melt at an increasing rate. ,Global warming caused by human-produced greenhouse gases is not causing the Arctic ice cap to melt at an increasing rate.
1994,1.5924994,-2.1260686,1.0145936,1.6931205000000003,0,1,0,0,The threat of Climate Change is exaggerated,Predictions of accelerating human-caused climate change are based upon computerized climate models that are inadequate and incorrect. ,Predictions of accelerating human-caused climate change are not based upon computerized climate models that are inadequate and incorrect.
1995,-0.4133107,-1.0073811,0.8340816999999999,0.9595332000000001,0,1,0,0,The threat of Climate Change is exaggerated,Computerized climate models could be misleading when it comes to the predictions of  accelerating human-caused climate change.,Computerized climate models could not be misleading when it comes to the predictions of  accelerating human-caused climate change.
2000,-2.4897335,3.746789,0.20605469,0.17586482,1,0,1,1,The threat of Climate Change is exaggerated,The specific type of CO2 that is increasing in earth's atmosphere can be directly connected to human activity. ,The specific type of CO2 that is not increasing in earth's atmosphere can be directly connected to human activity.
2002,6.912575,-6.1604985999999995,1.7207736,1.7781396,0,1,0,0,The threat of Climate Change is exaggerated,"Sea levels have been steadily rising for thousands of years, and the increase has nothing to do with humans. ","Sea levels don't have been steadily rising for thousands of years, and the increase has nothing to do with humans."
2004,-0.76805216,1.3193503999999998,0.49125463,0.38202137,1,0,1,1,The threat of Climate Change is exaggerated,Overwhelming scientific consensus says human activity is primarily responsible for global climate change.,Overwhelming scientific consensus says human activity is not primarily responsible for global climate change.
2005,-0.01971236,0.94827145,0.6472754,0.30362183,1,0,1,1,The threat of Climate Change is exaggerated,"Dramatic changes in precipitation, such as heavier storms and less snow, are another sign that humans are causing global climate change. ","Dramatic changes in precipitation, such as heavier storms and more snow, are another sign that humans are causing global climate change."
2024,6.163621,-4.614073,1.6881738000000002,1.7813897,0,1,0,0,The northern Ireland would be better off if united with the Republic of Ireland,Civil war will result between Irish factions if unity occurs. ,Civil war will not result between Irish factions if unity occurs.
2031,4.535784,-1.0248959,1.6604903000000002,1.7919147000000002,0,1,0,0,"We must be a libertarian; right or left, right or wrong","Libertarianism is a movement led by people who have no ideas on how to fix things, but criticize those that do.","Libertarianism is not a movement led by people who have no ideas on how to fix things, but criticize those that do."
2033,-3.9357555,3.3234806000000003,0.07600355,0.07336485400000001,1,0,1,1,Israel should return to its pre-1967 borders,Establishing the borders as they were  prior to 1967 would cease violence in Israel.,Establishing the borders as they were not  prior to 1967 would cease violence in Israel.
2039,5.0483685,-1.5845615,1.3947027,1.9478418999999998,0,1,0,0,There is life on other planets,Can't be proven,Can't be can be proven
2044,-3.8013383999999997,2.6189259999999996,0.06496805,0.0038060546000000003,1,0,1,1,There is life on other planets,are we lonely in this huge universe?, are not we lonely in this huge universe?
2050,2.4493694,0.80986726,1.1897886,1.7007773000000002,0,1,0,0,There is life on other planets,Why have other life forces not made themselves known?,Why have other life forces made themselves known?
2062,-0.8410926999999999,1.0183806,0.29852182,0.28097022,1,0,1,1,It does matter where you go to university or college,Some universities are more prestigious than others.,Some universities are not more prestigious than others.
2085,3.584338,-1.2428373,1.4283137,1.6880993999999998,0,1,0,0,Danish newspapers should not have published cartoons depicting the Prophet Mohammed,"In a democratic society, even religious norms can be questioned.","In a democratic society, even religious norms can not be questioned."
2159,6.0688787,-2.0617788,1.8633091,1.8988612,0,1,0,0,We should support enforcing term limits on the executive branch of government,"There are many instances when having a powerful, unlimited executive branch of government is best.","There are not many instances when having a powerful, unlimited executive branch of government is best."
2171,6.0551734,-2.2064972000000003,1.9111881000000002,1.9178667,0,1,0,0,We should support enforcing term limits on the executive branch of government,"Term limits are undemocratic and suggest, falsely, that voters cannot make intelligent decisions about their leaders on their own.","Term limits are undemocratic and suggest, falsely, that voters can make intelligent decisions about their leaders on their own."
2176,6.205957,-2.2378732999999995,1.9122628000000002,1.9157348,0,1,0,0,We should support enforcing term limits on the executive branch of government,"Term limits are undemocratic and suggest, falsely, that voters cannot make intelligent decisions about their representatives without guidance:","Term limits are undemocratic and suggest, falsely, that voters can make intelligent decisions about their representatives without guidance:"
2182,-3.3613480000000004,2.4111542999999998,0.03525251,0.022885025,1,0,1,1,We should support enforcing term limits on the executive branch of government,Term limits create more competitive elections for public office that empower new leaders and ideas:,Term limits create less competitive elections for public office that empower new leaders and ideas:
2194,3.0251455000000003,0.69114304,1.3812423999999999,1.8339834,0,1,0,0,We should support enforcing term limits on the executive branch of government,The incentive for corruption and self-enrichment in office is increased by term limits:,The incentive for corruption and self-enrichment in office is not increased by term limits:
2206,5.6162295,-2.210143,1.8087368000000001,1.9340191000000002,0,1,0,0,Bribery is sometimes acceptable,"Bribery can never be justified, as it is immoral.","Bribery can not never be justified, as it is immoral."
2220,4.045844600000001,0.37389040000000007,1.5082633,1.7590892,0,1,0,0,The human genome should be patented,Cruelty to animals 90% death rate cloning project,Cruelty not to animals 90% death rate cloning project
2221,5.642228599999999,-0.83000934,1.7247956999999998,1.8178296000000003,0,1,0,0,The human genome should be patented,Cloning projects with 90% death rate is cruelty to animals.,Cloning projects with 90% death rate is not cruelty to animals.
2230,-3.3140306000000006,2.9931498,0.028812587,0.013874173,1,0,1,1,Abolish the US Electoral College,The electoral college goes against the democratic system because it hinders party building and has a negative impact on voting.,The electoral college goes for the democratic system because it hinders party building and has a negative impact on voting.
2258,-3.4269998,3.7464824,0.030521392999999997,0.028396964,1,0,1,1,Stop the Olympic Games,It  sanctions and encourages 'Islamophobic' panics and promotes the excessive 'securitisation' of the globe,It  sanctions and discourage 'Islamophobic' panics and promotes the excessive 'securitisation' of the globe
2273,-3.3874876000000005,1.9662764,0.094641745,0.008261263000000001,1,0,1,1,The United Nations Security Council should be expanded,The current Security Council doesn't reflect the economic reality of the 21st century.,The current Security Council does reflect the economic reality of the 21st century.
2279,5.7788033,-1.645904,1.8054912,1.9278534999999999,0,1,0,0,The United Nations Security Council should be expanded,The many various interests and the demands makes a UNSC reform really tough to achieve.,The many various interests and the demands makes a UNSC reform really tough not to achieve.
2285,6.4486513,-2.3411037999999995,1.9270121999999998,1.9552665,0,1,0,0,The EU does have a future,"The ability of the EU to create a common foreign policy is a failure, as shown from multiple tests.","The ability of the EU not to create a common foreign policy is a failure, as shown from multiple tests."
2298,2.625686,-0.30402792,1.4705427,1.88533,0,1,0,0,All illegal immigrants must be repatriated,Alternatives are better,Alternatives are not better
2304,-0.96149063,1.5380666,0.35838884,0.026235700000000004,1,0,1,1,We should not slaughter animals which have not been stunned first.,Slaughter without stunning is painful for the animal,Slaughter with stunning is painful for the animal
2306,-1.9193930000000001,1.7470077000000002,0.09392685,0.048969625999999995,1,0,1,1,We should not slaughter animals which have not been stunned first.,slaughtering without proper procedure results in pain,slaughtering with proper procedure results in pain
2313,-4.4027753,4.329850700000001,0.008113681999999999,0.0069603324,1,0,1,1,Abolish congressional earmarks,Earmarks transfer too much power to political parties' central leadership,Earmarks transfer too little power to political parties' central leadership
2315,-4.229798000000001,4.237733,0.016680538999999998,0.012861967,1,0,1,1,Abolish congressional earmarks,Earmarks give the central leaders of political parties too much leverage. ,Earmarks give the central leaders of political parties too little leverage.
2323,-1.0895469,2.1869702,0.42178077,0.012488246000000001,1,0,1,1,Abolish congressional earmarks,Should congressional earmarks be abolished?, should not congressional earmarks be abolished?
2330,2.3490002,-0.45383802,1.4070479,1.7547738999999998,0,1,0,0,Abolish congressional earmarks,Congress would be destabilised without earmarks.,Congress would not be destabilised without earmarks.
2336,2.2238905,-1.6954414,0.9894728000000002,1.1645215,0,1,0,0,We should pull out of the Article 98 Agreements that prevent US soldiers from being sent to the ICC for trial,Article 98 Agreements are a crucial tool in maintaining American national sovereignty,Article 98 Agreements are not a crucial tool in maintaining American national sovereignty
2337,1.8347107,-0.94042957,0.8873928,1.0005137,0,1,0,0,We should pull out of the Article 98 Agreements that prevent US soldiers from being sent to the ICC for trial,National sovereignty is dependent on Article 98.,National sovereignty is not dependent on Article 98.
2342,6.852670699999999,-2.2486055,1.9024656999999998,1.9475991999999998,0,1,0,0,Dictatorship is the best path to development,"Democracy acts in the interest of the general population, which is good for development","Democracy acts in the interest of the general population, which is not good for development"
2343,4.868224,-1.310865,1.8130819,1.9743272,0,1,0,0,Dictatorship is the best path to development,Democratic rule of law is the best ground for political stability and growth,Democratic rule of law is not the best ground for political stability and growth
2361,4.7305527000000005,-0.84416527,1.6284788000000001,1.7994081999999998,0,1,0,0,Dictatorship is the best path to development,Democracies do better at meeting economic needs.,Democracies do worse at meeting economic needs.
2403,6.0339813,-1.7055953999999998,1.8401343999999997,1.9464171000000001,0,1,0,0,"Democracy has to be imposed, if needed",Attempting to impose democracy may escalate conflict.,Attempting not to impose democracy may escalate conflict.
2414,-2.4123075000000003,2.2238054,0.54943734,0.009251893,1,0,1,1,Mandatory sentencing is fine.,Minimum sentences increase the effectiveness of incapacitation. ,Minimum sentences decrease the effectiveness of incapacitation.
2416,-3.6219974,2.3194463,0.034945548,0.0046069026,1,0,1,1,Mandatory sentencing is fine.,Everyone is treated the same when there is mandatory sentencing., noone is treated the same when there is mandatory sentencing.
2428,1.7806195,0.5181806,0.96206224,1.4077897,0,1,0,0,Democracies should ban the display of communist and Nazi symbols,Society is ready to live with Nazi and Soviet symbols,Society is not ready to live with Nazi and Soviet symbols
2479,1.4383285,0.8483510000000001,1.1151652,1.6298903999999999,0,1,0,0,NATO has succeeded in Afghanistan,the taliban will likely resume their control once nato forces leave,the taliban will not likely resume their control once nato forces leave
2503,0.627612,-0.55765176,0.6949434,1.4550346,0,1,0,0,Illegal downloaders should be cut off from the internet,"File-sharing will still happen, despite these plans","File-sharing will not still happen, despite these plans"
2506,2.7625357999999998,-1.8567737000000002,0.7353281999999999,0.78603494,0,1,0,0,Illegal downloaders should be cut off from the internet,Will file-sharing stop if downloaders are banned from internet use, will not file-sharing stop if downloaders are banned from internet use
2521,3.3175703999999997,-3.7550742999999995,1.2814565,1.3729681999999999,0,1,0,0,Illegal downloaders should be cut off from the internet,Human rights are infringed if internet use is removed,Human rights are not infringed if internet use is removed
